id,name,created_at,updated_at
1,未定,2019-03-21 17:00:00,2019-03-21 17:00:00
2,らくらくメルカリ便,2019-03-21 17:00:00,2019-03-21 17:00:00
3,ゆうメール,2019-03-21 17:00:00,2019-03-21 17:00:00
4,レターパック,2019-03-21 17:00:00,2019-03-21 17:00:00
5,普通郵便(定形、定形外),2019-03-21 17:00:00,2019-03-21 17:00:00
6,クロネコヤマト,2019-03-21 17:00:00,2019-03-21 17:00:00
7,ゆうパック,2019-03-21 17:00:00,2019-03-21 17:00:00
8,クリックポスト,2019-03-21 17:00:00,2019-03-21 17:00:00
9,ゆうパケット,2019-03-21 17:00:00,2019-03-21 17:00:00
