id,name,created_at,updated_at
1,1~2日で発送,2019-03-21 17:00:00,2019-03-21 17:00:00
2,2~3日で発送,2019-03-21 17:00:00,2019-03-21 17:00:00
3,4~7日で発送,2019-03-21 17:00:00,2019-03-21 17:00:00
