id,name,created_at,updated_at
1,新品、未使用,2019-03-21 17:00:00,2019-03-21 17:00:00
2,未使用に近い,2019-03-21 17:00:00,2019-03-21 17:00:00
3,目立った傷や汚れなし,2019-03-21 17:00:00,2019-03-21 17:00:00
4,やや傷や汚れあり,2019-03-21 17:00:00,2019-03-21 17:00:00
5,傷や汚れあり,2019-03-21 17:00:00,2019-03-21 17:00:00
6,全体的に状態が悪い,2019-03-21 17:00:00,2019-03-21 17:00:00
